fui,i went; i was (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ir infinitive:ser
fuiste,you went; you were (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ir infinitive:ser
fue,he went; he was (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ir infinitive:ser
fuimos,we went; we were (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ir infinitive:ser
fueron,they went; they were (permanently),ser - to be (permanently),conjugation:indicative-preterite infinitive:ir infinitive:ser
